Equipo;Valor mercado
Atlanta United FC;37230000
Austin FC;44830000
CF Montréal;35100000
Charlotte FC;42400000
Chicago Fire FC;42500000
Colorado Rapids;32560000
Columbus Crew;62520000
D.C. United;27830000
FC Cincinnati;52069000
FC Dallas;50880000
Houston Dynamo FC;45660000
Inter Miami CF;101670000
LA Galaxy;66220000
Los Angeles FC;68170000
Minnesota United FC;41550000
Nashville SC;46930000
New England Revolution;42290000
New York City FC;51600000
New York Red Bulls;44630000
Orlando City SC;55900000
Philadelphia Union;52660000
Portland Timbers;49220000
Real Salt Lake;47060000
San Jose Earthquakes;37470000
Seattle Sounders FC;53330000
Sporting Kansas City;28080000
St. Louis City SC;46080000
Toronto FC;29230000
Vancouver Whitecaps FC;44900000
